entry,price,qty,exit,pnl,hold
56.0,138.299244666018,144.0,,,
,,,63.0,-370.09966745968273,7.0
63.0,136.13697500756342,117.0,,,
,,,66.0,220.90319905028858,3.0
67.0,139.55570730570133,91.0,,,
,,,73.0,284.5329737597827,6.0
73.0,143.11120502320603,72.0,,,
,,,76.0,-170.5149358497914,3.0
76.0,141.16587555254708,58.0,,,
,,,79.0,-166.61095178402232,3.0
92.0,140.24659240314418,46.0,,,
,,,95.0,-130.69621449172152,3.0
106.0,138.45384382063807,37.0,,,
,,,113.0,87.09307947344972,7.0
113.0,141.23083899141125,29.0,,,
,,,120.0,97.0336912712924,7.0
120.0,145.0112827281128,23.0,,,
,,,125.0,78.24225353907066,5.0
125.0,148.85910230385107,18.0,,,
,,,130.0,-80.7854713449898,5.0
131.0,145.12169241003997,15.0,,,
,,,154.0,33.479897496429835,23.0
154.0,147.7964844344295,12.0,,,
,,,162.0,53.30856682294929,8.0
162.0,152.6963438593865,9.0,,,
,,,167.0,52.14653777529941,5.0
167.0,158.96666838591318,7.0,,,
,,,171.0,-26.437348078275324,4.0
171.0,155.65625112510477,6.0,,,
,,,177.0,32.63240263480546,6.0
177.0,161.57907645630607,4.0,,,
,,,180.0,21.224364176958357,3.0
180.0,167.38665859858475,3.0,,,
,,,183.0,-6.464157805745735,3.0
183.0,165.72846246580195,3.0,,,
,,,209.0,12.244963406577014,26.0
209.0,170.32039752625056,2.0,,,
,,,215.0,6.719073943364529,6.0
215.0,174.20184391842366,2.0,,,
,,,219.0,-3.976562838716547,4.0
219.0,172.73106546142182,1.0,,,
,,,233.0,-2.6035164576739582,14.0
234.0,172.84800241013187,1.0,,,
,,,245.0,-2.6607185976575876,11.0
251.0,171.41625486939841,1.0,,,
,,,263.0,-2.879484595902337,12.0
283.0,168.49560001826833,1.0,,,
,,,291.0,-0.9329993298134169,8.0
291.0,168.0661274779718,1.0,,,
,,,312.0,3.40733287982212,21.0
312.0,171.98873930802844,0.0,,,
313.0,173.32893042021297,0.0,,,
314.0,175.71385829641162,0.0,,,
315.0,175.40698684915156,0.0,,,
316.0,176.49496492050807,0.0,,,
317.0,175.48773378928644,0.0,,,
318.0,175.81971857070454,0.0,,,
319.0,175.194612437543,0.0,,,
320.0,175.04820247004588,0.0,,,
321.0,175.95059809373453,0.0,,,
322.0,173.88334003526498,0.0,,,
323.0,177.94833620029496,0.0,,,
325.0,172.57825575745386,0.0,,,
327.0,175.95848261449245,0.0,,,
328.0,176.9270517788632,0.0,,,
329.0,177.90997374831485,0.0,,,
330.0,177.5284176640217,0.0,,,
332.0,175.0853024716435,0.0,,,
333.0,173.32134504592202,0.0,,,
365.0,158.62220855899966,0.0,,,
366.0,158.73155434581508,0.0,,,
367.0,158.43834811004973,0.0,,,
368.0,158.30723337184705,0.0,,,
373.0,160.84748490760506,0.0,,,
374.0,164.72786459153824,0.0,,,
375.0,162.89187482075934,0.0,,,
376.0,164.27707495340476,0.0,,,
377.0,164.30995075370438,0.0,,,
378.0,168.34782448415632,0.0,,,
379.0,166.38970267712185,0.0,,,
380.0,164.39235537948386,0.0,,,
381.0,162.88806867379495,0.0,,,
402.0,156.227149297033,0.0,,,
410.0,157.9875233515505,0.0,,,
411.0,156.5529489883974,0.0,,,
417.0,158.91067240621672,0.0,,,
418.0,160.766967594879,0.0,,,
419.0,161.02563510590204,0.0,,,
420.0,164.2041232575257,0.0,,,
421.0,166.98573264035124,0.0,,,
422.0,166.77868569216366,0.0,,,
423.0,168.41174376492359,0.0,,,
424.0,169.56226766989585,0.0,,,
425.0,171.83554818875987,0.0,,,
426.0,170.5201707281059,0.0,,,
427.0,171.747960507387,0.0,,,
428.0,173.56529638716273,0.0,,,
429.0,171.0105449987578,0.0,,,
430.0,169.36834420356934,0.0,,,
434.0,169.91141912997486,0.0,,,
436.0,172.8806773526414,0.0,,,
438.0,168.4855981405728,0.0,,,
468.0,163.8607433349799,0.0,,,
469.0,163.1768491779808,0.0,,,
470.0,162.93626493393322,0.0,,,
477.0,163.8351303057703,0.0,,,
478.0,168.6069971906871,0.0,,,
479.0,170.48489844549084,0.0,,,
480.0,170.45911313576994,0.0,,,
481.0,169.16855730031637,0.0,,,
482.0,166.9071352601664,0.0,,,
483.0,167.3803477458095,0.0,,,
484.0,166.41116067095726,0.0,,,
485.0,164.45900247890202,0.0,,,
486.0,163.66835555283345,0.0,,,
491.0,168.92840770245542,0.0,,,
492.0,169.21520663717848,0.0,,,
493.0,168.0765884353967,0.0,,,
494.0,170.56694786591024,0.0,,,
495.0,171.56772148956034,0.0,,,
496.0,170.14361095626566,0.0,,,
497.0,170.02233362070336,0.0,,,
498.0,168.85649942310292,0.0,,,
499.0,166.93492082411942,0.0,,,
